code,concept,definition,anchor,example,confusables,alternates,domain_name,category_name,mnemonic,learned
295,P vs NP,P: solvable in polynomial time; NP: verifiable in polynomial time; whether P = NP - is finding as easy as checking - is the great open question.,A finished jigsaw takes one glance to check; assembling it can take years. P vs NP asks whether every glance-checkable puzzle secretly hides a fast assembly trick.,"verify a SAT assignment: plug in, linear time / find one: best known worst case is exponential","NP as 'not polynomial' - wrong: NP means NONDETERMINISTIC polynomial, i.e. checkable fast; P sits inside NP.",The Clay Millennium one-million-dollar bounty poster.,Algorithms & complexity,Backtracking & hard problems,"2 = binary: compare two things, split in two - binary search, O(n^2) pairwise comparisons",0
296,NP-completeness and reduction,In NP and every NP problem poly-time reduces to it; one polynomial algorithm for any NP-complete problem would drag the entire class into P.,A domino chain carved by Cook and Karp: every NP puzzle leans on SAT; topple SAT with one fast algorithm and thousands of famous problems crash in the same breath.,3-SAT <=p Independent Set <=p Vertex Cover / solve any one in poly time => P = NP,NP-hard - at least as hard as NP but maybe not IN NP (halting problem); NP-complete = NP-hard AND itself verifiable in NP.,"A skeleton-key problem: pick one lock, all locks open.",Algorithms & complexity,Backtracking & hard problems,"2 = binary: compare two things, split in two - binary search, O(n^2) pairwise comparisons",0
297,Classic NP-complete problems,"SAT (first proven, Cook 1971), 3-SAT, traveling salesman (decision), subset sum, knapsack decision, vertex cover, graph 3-coloring, Hamiltonian cycle.","A rogues' gallery poster in the complexity precinct: the Salesman, the Safecracker (subset sum), the Party Planner (coloring), the Tourist (Hamiltonian) - all wanted, all provably in cahoots with Don SAT.",TSP decision: is there a tour of length <= k? / subset sum: does any subset total exactly t?,"Easy twins - Euler cycle, 2-SAT, 2-coloring, shortest path are in P; Hamiltonian, 3-SAT, 3-coloring, longest path are NP-complete.","Karp's famous list of 21 problems, 1972.",Algorithms & complexity,Backtracking & hard problems,"2 = binary: compare two things, split in two - binary search, O(n^2) pairwise comparisons",0
298,Approximation algorithms,"Poly-time algorithms with a proven worst-case ratio to optimal - greedy vertex cover <= 2x OPT, Christofides TSP <= 1.5x; exactness traded for tractability.","A tailor who can't afford the perfect fit promising in WRITING: 'your suit wastes at most twice the cloth of the ideal one' - a guaranteed-ratio contract, not a vibe.","vertex cover: repeatedly take BOTH ends of any uncovered edge / result <= 2 * OPT, provably","Heuristics - no guarantee, just usually-good; an approximation algorithm ships a proven worst-case ratio.",Christofides' 1.5x tour for metric TSP.,Algorithms & complexity,Backtracking & hard problems,"2 = binary: compare two things, split in two - binary search, O(n^2) pairwise comparisons",0
299,Heuristics and metaheuristics,"No-guarantee strategies for brutal search spaces: hill climbing with restarts, simulated annealing, genetic algorithms, tabu search - good answers, no proofs.","A blacksmith ANNEALING steel: while the metal glows hot she allows wild, even worsening hammer blows; as it cools she taps only improvements - the early wildness is what escapes the foothills.",accept a worse move with p = exp(-delta / T) / T *= 0.995 each step # cool slowly,"Approximation algorithms - carry a proven ratio; heuristics carry only benchmarks and hope. (A* 'admissible heuristics' are a different, guaranteed animal.)","Genetic algorithms: breed tours, mutate, cull the weak.",Algorithms & complexity,Backtracking & hard problems,"2 = binary: compare two things, split in two - binary search, O(n^2) pairwise comparisons",0
300,Function,"A named, reusable block of code that takes inputs and produces an output when called.","A juicer bolted to the counter: fruit in the top, juice out the spout — same fruit, same juice, every pull of the lever.","def area(w, h): / return w * h / area(3, 4) # 12","Method — a function bound to an object, called via an instance (obj.f()) rather than free-standing.","A vending machine (rejected: overused, generic).",Functions & functional programming,Function anatomy,rule of three: input -> transform -> output; the lambda,0
301,Function signature,"The function's public contract: its name, parameter list, and optionally return type — everything a caller needs to know.",A wax-sealed contract nailed to the shop door listing what you must hand over and what you get back — you sign(ature) before entering.,"def greet(name: str, loud: bool = False) -> str: ...",Implementation/body — the signature says what to call it with; the body says how it computes.,Autograph on a baseball (rejected: no contract semantics).,Functions & functional programming,Function anatomy,rule of three: input -> transform -> output; the lambda,0
302,Parameter vs argument,Parameters are the named placeholders in the definition; arguments are the actual values supplied at the call site.,"The theater program prints the role 'Hamlet' (parameter); on opening night a real actor walks on (argument). Roles are printed once, actors change nightly.",def pay(amount): ... # amount = parameter / pay(99.50) # 99.50 = argument,"Local variable — a parameter is one, but born only from a call-site argument.",Empty parking-meter slots (rejected: does not split the two words).,Functions & functional programming,Function anatomy,rule of three: input -> transform -> output; the lambda,0
303,Positional arguments,"Arguments matched to parameters purely by their order in the call: first to first, second to second.","A relay handoff where batons go to lanes strictly by position — swap two lanes and the wrong runner gets the baton, silently.","def sub(a, b): return a - b / sub(10, 3) # 7 / sub(3, 10) # -7, order matters","Keyword arguments — matched by parameter name, so their order does not matter.","Numbered deli tickets (rejected: encodes queueing, not matching).",Functions & functional programming,Function anatomy,rule of three: input -> transform -> output; the lambda,0
304,Keyword arguments,"Arguments passed as name=value so they bind to parameters by name, making calls order-independent and self-documenting.","Luggage tags with names in bold marker: whatever order the bags tumble off the carousel, each walks straight to its named owner.","connect(host='db', port=5432, retry=True) / connect(port=5432, retry=True, host='db') # same","Positional arguments — bound by order, not name; ambiguous at complex call sites.",Keys on a keyring (rejected: 'keyword' pun too weak to encode name=value).,Functions & functional programming,Function anatomy,rule of three: input -> transform -> output; the lambda,0
305,Default parameter values,"A fallback value in the signature used when the caller omits that argument; Python evaluates it once, at definition time.","A diner menu: 'burger comes with fries unless you say otherwise' — but the kitchen keeps ONE shared basket of fries, reused for every order (the mutable-default trap).","def log(msg, level='INFO'): ... / def bad(x, acc=[]): acc.append(x); return acc # shared list!","None-sentinel idiom — def f(x=None) then build inside, avoiding the shared mutable default.",Factory settings on a phone (rejected: misses the evaluated-once trap).,Functions & functional programming,Function anatomy,rule of three: input -> transform -> output; the lambda,0
306,Variadic parameters,"Parameters that absorb extra arguments: *args gathers positionals into a tuple, **kwargs gathers keywords into a dict.","A star-shaped vacuum nozzle sucking a whole spilled bag of marbles into one tube — one star (*) for loose marbles, two stars (**) for labeled jars.","def tally(*nums, **opts): / return sum(nums), opts / tally(1, 2, 3, unit='kg')",Call-site unpacking — f(*lst) spreads a list out; *args in the def gathers in.,"Hydra growing arms per guest (rejected: violent, less mechanical).",Functions & functional programming,Function anatomy,rule of three: input -> transform -> output; the lambda,0
307,Return value,The value a function hands back to its caller via return; a Python function without a return implicitly yields None.,A pneumatic bank tube: you send the canister in and something always whooshes back — even 'nothing' arrives as an empty canister labeled None.,def half(x): return x / 2 / def greet(): print('hi') / result = greet() # result is None,print — displays to the screen but hands nothing back; return delivers a value to the caller.,"Boomerang (rejected: implies the input itself comes back, not a new value).",Functions & functional programming,Function anatomy,rule of three: input -> transform -> output; the lambda,0
308,Docstring,"A string literal placed first inside a function documenting purpose, parameters, and return; exposed at runtime via help() and __doc__.",A tiny instruction scroll rolled up just inside the machine's front panel — pop the panel (help()) and the scroll unrolls in your hands.,def norm(v): / '''Scale vector v to unit length.''' / ...,Comment (#) — for maintainers reading source; docstrings are runtime-accessible API docs.,Doctor's chart at the bedside (rejected: 'doc' pun but misses the placement rule).,Functions & functional programming,Function anatomy,rule of three: input -> transform -> output; the lambda,0
309,Do one thing,"Keep each function small with a single responsibility at one level of abstraction; if the name needs 'and', split it.",A Swiss Army knife with every blade open at once slices your palm; the chef's single sharp knife makes one perfect cut.,parse_and_save_and_email(f) # smell / recs = parse(f); save(recs); email(recs),DRY — about removing duplication; 'one thing' is about narrowing each unit's purpose.,One-trick pony (rejected: pejorative tone undercuts the principle).,Functions & functional programming,Function anatomy,rule of three: input -> transform -> output; the lambda,0
310,Lexical scoping,"A name resolves to the binding visible where the code is written, not where it is called; scope follows the source text.","Words spoken in a house are heard only by rooms nested inside it, never by the house next door — the floor plan (source text), not the visitor, decides who hears.",x = 'outer' / def f(): print(x) # finds x by where f is WRITTEN / f(),Dynamic scoping — resolves names by the runtime call stack instead of the source layout.,Dictionary (lexicon) pages (rejected: encodes the word 'lexical' but not nesting).,Functions & functional programming,Scope & closures,rule of three: input -> transform -> output; the lambda,0
311,Scope chain (LEGB),"Name lookup walks outward through nested scopes — Local, Enclosing, Global, Builtins in Python — and stops at the first match.","You LEG it up a spiral staircase shouting a name: your room, the landing, the lobby, then the city registry (B) — the first voice that answers, you stop climbing.","x = 'G' / def f(): / x = 'L'; print(x) # L wins; else E, then G, then B",Shadowing — one visible effect of the chain: an inner binding hides an outer one of the same name.,Russian nesting dolls (rejected: generic for anything nested).,Functions & functional programming,Scope & closures,rule of three: input -> transform -> output; the lambda,0
312,Closure,"A function bundled with the environment where it was defined, so it keeps using outer variables after that scope has returned.",A deep-sea diver strolls out of the ocean still wearing a bubble of seawater around his head — he carries his birth environment wherever he goes.,def make_adder(n): / return lambda x: x + n / add5 = make_adder(5); add5(2) # 7,Lambda — a syntax for anonymous functions; a closure is any function that captures enclosing variables.,"Backpack of variables (rejected: tutorial cliche, weakly visual).",Functions & functional programming,Scope & closures,rule of three: input -> transform -> output; the lambda,0
313,"Capture variables, not values","A closure holds a live reference to the outer variable itself, so later reassignment changes what the closure sees.",You photograph a scoreboard but the print turns out to be a live video feed — glance at it later and the score has changed under your thumb.,"n = 1 / f = lambda: n / n = 99; f() # 99, not 1","Default-argument snapshot — lambda n=n: n copies the value at definition time, freezing it.",Balloon tied to the variable by string (rejected: does not show late reads).,Functions & functional programming,Scope & closures,rule of three: input -> transform -> output; the lambda,0
314,Loop-variable capture bug,"Closures created in a loop all share the single loop variable, so after the loop every one of them sees its final value.","Ten balloons all tied to one weather vane: when the wind dies, all ten point wherever the vane last settled — nobody kept their own direction.","fs = [lambda: i for i in range(3)] / [f() for f in fs] # [2, 2, 2] / fs = [lambda i=i: i for i in range(3)] # fix","JS var-in-loop — the same bug; let's per-iteration binding fixes it there, default args or factories in Python.",Group photo of a marathon finish (rejected: a still image contradicts live capture).,Functions & functional programming,Scope & closures,rule of three: input -> transform -> output; the lambda,0
315,Private state via closure,Returning inner functions that share an enclosing variable creates state only they can touch — encapsulation without classes.,A piggy bank sealed inside a wall with two mail slots labeled DEPOSIT and BALANCE; only those slots reach the coins — there is no lid to pry.,const counter = () => { let n = 0; return () => ++n; }; / const c = counter(); c(); c(); // 2,"Python 'private' attributes — an underscore convention, still reachable; closure state is truly inaccessible.",Diary with a wristband key (rejected: a single accessor misses the shared-slot idea).,Functions & functional programming,Scope & closures,rule of three: input -> transform -> output; the lambda,0
316,Variable shadowing,"An inner-scope binding reuses an outer name, hiding the outer variable for the rest of that scope and inviting confusion.",A tall stranger plants himself in front of grandpa's hallway portrait wearing the same nametag; everyone addresses the stranger while grandpa hangs hidden in shadow.,total = 100 / def f(total): return total * 2 # outer total hidden / f(3) # 6,Overriding — replaces an inherited method in a subclass; shadowing hides a name in a nested scope.,Solar eclipse (rejected: overused for anything hidden).,Functions & functional programming,Scope & closures,rule of three: input -> transform -> output; the lambda,0
317,nonlocal and global,Python declarations letting a function rebind an enclosing-scope name (nonlocal) or a module-level name (global) instead of creating a local.,"Filling out a form in a booth you shout 'this goes on the BUILDING's ledger, not my notepad!' — the clerk stamps GLOBAL and carries it upstairs.",def outer(): / n = 0 / def bump(): nonlocal n; n += 1,Reading outer names — needs no declaration; only assignment requires nonlocal or global.,"Megaphone to the world (rejected: global-only, misses nonlocal's middle floor).",Functions & functional programming,Scope & closures,rule of three: input -> transform -> output; the lambda,0
318,Hoisting,"JavaScript lifts var and function declarations to the top of their scope, so vars read as undefined before their assignment line runs.",A crane hoists every crate's empty shell to the warehouse ceiling before dawn; grab one too early and it is there — but hollow (undefined).,"console.log(x); // undefined, not an error / var x = 5; // declaration hoisted, value not",let/const TDZ — also hoisted but locked in a temporal dead zone; early access throws instead of undefined.,Elevator jumping the queue (rejected: misses the empty-value half).,Functions & functional programming,Scope & closures,rule of three: input -> transform -> output; the lambda,0
319,Block vs function scope,var and Python locals live for the whole function; let/const and most modern languages confine variables to the enclosing block.,Two hotels: in Hotel Var your keycard opens every room on the floor; in Hotel Let it opens only the one room where it was cut.,if (true) { var a = 1; let b = 2; } / a; // 1 escapes the block / b; // ReferenceError,Lexical vs dynamic scope — how names resolve; block vs function is how far a binding extends.,Fenced garden vs open field (rejected: too pastoral to recall mechanics).,Functions & functional programming,Scope & closures,rule of three: input -> transform -> output; the lambda,0
320,First-class functions,"Functions are ordinary values: assignable to variables, passed as arguments, returned from calls, and stored in data structures.","At the airport a function rides in seat 1A with its own boarding pass and luggage tag, like any passenger — first class, not crew locked in the cockpit.","ops = {'+': add, '*': mul} / apply = ops['*'] / apply(3, 4) # 12",Higher-order function — a consumer/producer of functions; first-class is the language property enabling it.,"VIP backstage pass (rejected: implies privilege, not ordinariness).",Functions & functional programming,Higher-order functions,rule of three: input -> transform -> output; the lambda,0
321,Higher-order function,A function that takes one or more functions as arguments or returns a function as its result.,A crane lifting other cranes onto a rooftop: machinery whose cargo is machinery.,"def twice(f, x): return f(f(x)) / twice(lambda n: n + 3, 10) # 16",First-class functions — the language feature; higher-order describes a particular function's signature.,"Russian doll of functions (rejected: nesting is not the point, parameterization is).",Functions & functional programming,Higher-order functions,rule of three: input -> transform -> output; the lambda,0
322,Lambda (anonymous function),"A small nameless function written inline as a single expression, used where naming a one-off function would be noise.","A masked street performer does exactly one trick and vanishes — no name on any poster, hired on the spot. The mask is shaped like a Greek lambda.","sorted(words, key=lambda w: len(w)) / (lambda x, y: x * y)(3, 4) # 12",def — a named statement allowing full bodies and docstrings; lambda is one nameless expression.,A lamb doing tricks (rejected: sound-alike encodes nothing about anonymity).,Functions & functional programming,Higher-order functions,rule of three: input -> transform -> output; the lambda,0
323,map,"Applies a function to every element of a sequence, producing a new sequence of results with the same length and order.","A car-wash conveyor: every dirty car enters, the identical scrub hits each one, and the same count of clean cars rolls out in order.","list(map(str.upper, ['a', 'b'])) # ['A', 'B'] / [x*x for x in nums] # Pythonic map",filter — drops elements by a test; map transforms every element and never changes the count.,Cartographer's map (rejected: name pun without transformation).,Functions & functional programming,Higher-order functions,rule of three: input -> transform -> output; the lambda,0
324,filter,"Keeps only the elements of a sequence for which a predicate function returns true, preserving their original order.",A coffee filter: grounds stay trapped in the paper while only liquid that passes the mesh test drips into the pot below.,"list(filter(lambda n: n % 2 == 0, nums)) / [n for n in nums if n % 2 == 0]","map — transforms each element; filter never alters elements, only rejects some.",Bouncer with a clipboard (rejected: overused for any validation).,Functions & functional programming,Higher-order functions,rule of three: input -> transform -> output; the lambda,0
325,reduce (fold),Collapses a sequence to a single value by repeatedly combining an accumulator with each element using a binary function.,"A snowball rolling downhill swallows flake after flake — each pass folds one more snowflake into the growing ball, and a single boulder arrives at the bottom.","from functools import reduce / reduce(lambda acc, x: acc + x, [1, 2, 3, 4], 0) # 10",sum/max/join — special-case reductions; reduce is the general fold behind them all.,Trash compactor (rejected: destroys structure without a combining rule).,Functions & functional programming,Higher-order functions,rule of three: input -> transform -> output; the lambda,0
326,Callback,"A function you hand to other code to be invoked later, when an event fires or a task finishes.","You leave your phone number at the bakery: 'call me back when the bread is out.' You walk away; THEY dial the number, not you.","button.on_click(save_draft) / fetch(url, on_done=parse)",Promise/Future — a value you await; a callback is code the framework calls into.,Boomerang note (rejected: return imagery already taken by 307).,Functions & functional programming,Higher-order functions,rule of three: input -> transform -> output; the lambda,0
327,Function factory,"A function that builds and returns new customized functions, baking configuration into each product via closure.","A cookie-cutter press: feed in a shape parameter and the machine stamps out a new CUTTER you keep — this factory sells tools, not cookies.",def pow_of(n): return lambda x: x ** n / square = pow_of(2); cube = pow_of(3),Factory pattern (OOP) — returns objects; a function factory returns callables closed over config.,3D printer printing 3D printers (rejected: recursion vibe misleads).,Functions & functional programming,Higher-order functions,rule of three: input -> transform -> output; the lambda,0
328,Decorator,"A higher-order function that wraps another to add behavior — logging, caching, auth — without editing its body; @name applies it.",A gift wrapper at a mall kiosk: your gift goes in unchanged and comes out in ribboned paper that greets (logs) whoever opens it. The @ sign is the bow.,@lru_cache / def fib(n): return n if n < 2 else fib(n-1) + fib(n-2),"Decorator pattern (OOP) — same idea with wrapper objects; Python decorators wrap once, at definition time.",Interior decorator repainting rooms (rejected: mutation image contradicts wrapping).,Functions & functional programming,Higher-order functions,rule of three: input -> transform -> output; the lambda,0
329,Key function,"A one-argument function given to sort/min/max that extracts each element's comparison value, separating ordering logic from data.",A librarian sorts crates of books by scanning only the spine sticker her key function extracts — she never opens a single book.,"sorted(people, key=lambda p: p.age) / max(words, key=len)",Comparator (cmp) — takes two items and returns -1/0/1; a key maps each single item to a sortable proxy.,Piano keys (rejected: sound-alike with zero sorting content).,Functions & functional programming,Higher-order functions,rule of three: input -> transform -> output; the lambda,0
330,Pure function,"A function whose output depends only on its arguments and which causes no observable side effects — same input, same output, always.","A glass calculator sealed in a vacuum jar: press 2+2 and 4 lights up — no smoke escapes, no bell rings, nothing inside is different afterward.",def area(r): return 3.14159 * r * r # pure / def loud(r): print(r); return r * r # impure: I/O,"Deterministic function — same output for same input, but may still write files; purity also bans effects.","Monk in a sealed cell (rejected: 'pure' pun, weak mechanism).",Functions & functional programming,Purity & side effects,rule of three: input -> transform -> output; the lambda,0
331,Side effect,"Any observable change a function makes beyond returning a value: mutating state, doing I/O, altering globals or its arguments.","A waiter takes your order and on the way to the kitchen quietly rearranges every table in the restaurant — your receipt looks normal, the room does not.",def add_user(u): USERS.append(u) # mutates global / def save(x): db.write(x) # I/O,"Return value — the declared, visible output; side effects are the undeclared extra changes.",Medication side effects (rejected: accurate but a non-visual cliche).,Functions & functional programming,Purity & side effects,rule of three: input -> transform -> output; the lambda,0
332,Referential transparency,An expression can be replaced by its value anywhere without changing program behavior — the hallmark of purity.,"A perfectly transparent sticker printed '42' laid over the expression on the page: read through it or read the label, the program means the same.",y = f(2) + f(2) / y = 2 * f(2) # legal rewrite iff f is pure,Purity — a property of functions; referential transparency is the property of expressions that purity buys.,Secretly swapping identical twins (rejected: substitution shown but 'transparent' unencoded).,Functions & functional programming,Purity & side effects,rule of three: input -> transform -> output; the lambda,0
333,Idempotence,Applying an operation more than once has the same effect as applying it once — f(f(x)) == f(x); safe to retry.,An elevator button already glowing: mash it five more times and the elevator's plan does not change. The first press did everything.,abs(abs(-5)) == abs(-5) / PUT /users/7 {name: 'Ann'} # retry-safe / s.add(3); s.add(3) # set unchanged,"Purity — no effects at all; an idempotent operation may have an effect, just one that never compounds.",Crosswalk button (rejected: same image with a weaker light cue).,Functions & functional programming,Purity & side effects,rule of three: input -> transform -> output; the lambda,0
334,Hidden inputs,"Sneaky dependencies — globals, clocks, randomness, environment — that vary a function's result while its parameter list looks innocent.",A magician's 'empty' hat with a trapdoor to backstage: which rabbit he pulls depends entirely on who is crouching under the table tonight.,def greet(): return 'Hi ' + CURRENT_USER # global / def stamp(): return time.time() # clock,Explicit parameters — visible in the signature; hidden inputs bypass it and break testability.,Iceberg under a rowboat (rejected: hiddenness without variability).,Functions & functional programming,Purity & side effects,rule of three: input -> transform -> output; the lambda,0
335,Memoization,Caching a function's results keyed by its arguments so repeat calls return instantly; only safe when the function is pure.,"A barista scribbles your exact order on a memo stuck to the machine; next time you walk in, your cup is already waiting on the counter.",@lru_cache / def fib(n): return n if n < 2 else fib(n-1) + fib(n-2) / fib(300) # instant on repeat,I/O caching — stores fetched data blocks; memoization stores computed results per argument tuple.,Photographic memory (rejected: invites the 'memorization' misspelling it should prevent).,Functions & functional programming,Purity & side effects,rule of three: input -> transform -> output; the lambda,0
336,Purity aids testing,"Pure functions need no mocks, setup, or teardown — pass arguments, assert on the return value, done.","Testing a padlock on a bare table: key in, click, done — versus testing a house alarm that needs the whole house wired, armed, and a stunt burglar hired.","assert price_with_tax(100, 0.2) == 120 # no db, no mocks, no fixtures",Integration tests — exercise wiring and effects; purity shrinks tests to input/output checks.,Lab rat in a clean cage (rejected: unpleasant animal-testing image).,Functions & functional programming,Purity & side effects,rule of three: input -> transform -> output; the lambda,0
337,Purity aids parallelism,"With no shared mutable state or effects, pure calls can run in any order or simultaneously — no locks, races, or coordination.","A thousand chefs, each with their own cutting board and own onion: no shared pan, so nobody queues and no elbows collide — dinner in one chop.","pool.map(render_tile, tiles) # safe: render_tile is pure",Locking — serializes access to shared state; purity removes the shared state entirely.,Parallel swimming lanes (rejected: lanes still share the pool water).,Functions & functional programming,Purity & side effects,rule of three: input -> transform -> output; the lambda,0
338,Command-query separation,"Each function should either perform an effect (command, returns nothing) or answer a question (query, changes nothing) — never both.",A library with two desks: the silent reading desk only answers questions; the stamping desk only stamps and never speaks. The clerk who does both loses books.,items.pop() # violates CQS: mutates AND returns / top = items[-1]; del items[-1] # split,CQRS — an architecture-level split of read and write models; CQS is the function-level rule.,"Ask vs tell parenting (rejected: abstract, no penalty encoded).",Functions & functional programming,Purity & side effects,rule of three: input -> transform -> output; the lambda,0
339,"Functional core, imperative shell",Put decisions in a pure core and push all I/O and mutation to a thin outer shell that feeds the core and enacts its results.,"An egg: the golden yolk (pure logic) never touches the world; only the shell meets the carton, the pan, and your dirty hands.","data = read_file(p) # shell / plan = decide(data) # pure core / write_file(q, plan) # shell","Hexagonal architecture — the same spirit at system scale, with ports and adapters at the edges.",Castle with a pure king inside (rejected: royalty adds no mechanism).,Functions & functional programming,Purity & side effects,rule of three: input -> transform -> output; the lambda,0
340,Immutability,"Once created, a value never changes; any 'modification' produces a new value, eliminating aliasing and concurrency bugs at the root.","Words carved in granite: to fix a typo the mason carves an entirely new slab, and the old stone stands unchanged in the plaza forever.","s = 'cat' / s.upper() # returns 'CAT'; s is still 'cat' / (1, 2)[0] = 9 # TypeError","Constant/final binding — the name cannot be rebound, but the object it points to may still mutate.",Insect trapped in amber (rejected: preservation without the new-copy half).,Functions & functional programming,Immutability,rule of three: input -> transform -> output; the lambda,0
341,Value semantics,"Assignment and passing copy the VALUE, so no two names can share mutable state - what you hold is yours alone, as with ints and strings.","A photocopier bolted to the office doorway: every document handed through comes out a fresh copy, so scribbling on yours never defaces mine.",a = 5; b = a; b += 1  # a still 5 / C++: vector<int> v2 = v1;  // independent copy,vs reference semantics / aliasing (099): references share one object; values are independent copies,wax seal stamping identical impressions,Functions & functional programming,Immutability,rule of three: input -> transform -> output; the lambda,0
342,Immutable collections,"Collection types that reject all in-place modification — tuple, frozenset, frozen dataclasses — making them safely shareable and hashable.","A museum case of butterflies pinned under glass: anyone may look, photograph, and pass it around the room; nobody's fingers get inside.","point = (3, 4) / fs = frozenset({1, 2}); fs | {3} # new set / @dataclass(frozen=True)",Read-only view — a window onto data someone else may still mutate; immutable collections cannot change at all.,Snow globe (rejected: you can shake it — motion contradicts).,Functions & functional programming,Immutability,rule of three: input -> transform -> output; the lambda,0
343,Freeze and readonly,"Language switches that lock existing objects or fields against writes — Object.freeze in JS, readonly in TS/C#, final fields in Java.","A flash-freeze ray zaps a wriggling octopus solid mid-gesture: poke all you want, no tentacle budges — but the frost is only skin-deep (shallow).",const cfg = Object.freeze({port: 80}); / cfg.port = 99; // ignored (throws in strict) / cfg.nested.x = 1; // still works: shallow!,"const (JS) — freezes the binding, not the object; a const object's fields stay writable without freeze.",Wax seal on a letter (rejected: opening breaks it; freeze cannot be broken).,Functions & functional programming,Immutability,rule of three: input -> transform -> output; the lambda,0
344,Defensive copy,Copy mutable data at trust boundaries — going into and out of your object — so outsiders holding a reference cannot mutate your internals.,The museum hands visitors a replica sword to swing around while the real blade stays in the vault; scratch the copy all you like.,"def __init__(self, tags): / self._tags = list(tags) # copy in / def tags(self): return list(self._tags) # copy out",Immutable types — make copying unnecessary; defensive copies are the workaround when stuck with mutables.,Fencing with a shield (rejected: 'defensive' pun but no copy).,Functions & functional programming,Immutability,rule of three: input -> transform -> output; the lambda,0
345,Shallow vs deep copy,"A shallow copy duplicates only the outer container, still sharing inner objects; a deep copy recursively duplicates everything.",Photocopying a binder of house keys: the shallow copy reproduces the pages but the taped-on keys still open the ORIGINAL doors; the deep copy re-cuts every key.,import copy / b = copy.copy(a) # inner lists shared / c = copy.deepcopy(a) # fully independent,"Assignment (b = a) — copies nothing, just adds a name; even a shallow copy makes a new outer object.","Kiddie pool vs deep-sea dive (rejected: depth pun, no sharing shown).",Functions & functional programming,Immutability,rule of three: input -> transform -> output; the lambda,0
346,Non-destructive update,"Produce a modified copy instead of mutating in place — spread syntax, dataclasses.replace — leaving the original intact for other holders.","A film editor never cuts the negative: every edit prints a fresh reel with one scene swapped, and the archive keeps every prior version.","new = {**old, 'port': 8080} / p2 = dataclasses.replace(p, x=5) / nums2 = nums + [7]","In-place mutation — cheaper, but changes the value under every alias simultaneously.","Ship of Theseus (rejected: philosophy overload, wrong lesson).",Functions & functional programming,Immutability,rule of three: input -> transform -> output; the lambda,0
347,Structural sharing,"New versions of immutable structures reuse the unchanged parts of the old one, so a 'copy' costs only the changed path, not the whole.","Two treehouses in the same living oak: the new one adds a single fresh branch and plank, and both stand safely on the same old trunk.","new = old.set_in('user.name', 'Ann') / # only that path rebuilt; ~99% of nodes shared","Shallow copy — also shares innards, but mutable ones; sharing is only safe because the parts cannot change.",Shared sourdough starter (rejected: the starter itself changes over time).,Functions & functional programming,Immutability,rule of three: input -> transform -> output; the lambda,0
348,Persistent data structures,"Immutable collections where every update returns a new version and all old versions remain valid and cheap, via structural sharing.","A video game save-tree: every move spawns a new save slot, and you can reload any past save forever — storage barely grows because saves share the world.","v2 = v1.append(42) # Clojure/pyrsistent vector / v1 # the old sequence, untouched and usable",'Persistent' as saved-to-disk — unrelated; here it means old versions persist in memory.,"Photo album of every day (rejected: linear full copies, no sharing).",Functions & functional programming,Immutability,rule of three: input -> transform -> output; the lambda,0
349,Copy-on-write,Share one underlying buffer between 'copies' and physically duplicate it only at the moment someone first writes.,Roommates share one streaming profile until the day one rates a movie — at that click the account instantly splits into two profiles so the stain lands on theirs alone.,pid = os.fork() # memory pages shared until a write / df2 = df.copy() # pandas CoW: real copy deferred,Eager defensive copy — pays the duplication cost up front; CoW defers it and often never pays.,Photocopier that only prints when you scribble (rejected: circular description).,Functions & functional programming,Immutability,rule of three: input -> transform -> output; the lambda,0
350,Function composition,"Combining functions so one's output feeds the next — compose(f, g)(x) = f(g(x)) — building big behavior from small parts.",Three garden hoses screwed end to end: water enters the far nozzle and passes through every segment before hitting the roses. Compose reads right-to-left — water enters at the LAST hose named.,"compose = lambda f, g: lambda x: f(g(x)) / slug = compose(str.lower, str.strip) / slug(' HeLLo ') # 'hello'",Pipe — the same chaining written left-to-right in reading order; compose is right-to-left math order.,"Composer stacking sheet music (rejected: name pun, no data flow).",Functions & functional programming,Composition & currying,rule of three: input -> transform -> output; the lambda,0
351,Pipe,"Left-to-right composition: pipe(f, g, h)(x) runs f first, reading in execution order — x |> f |> g in Elixir and F#.",A water slide with three drops in the order you will actually fall: from the ladder you can narrate your whole ride top to bottom.,"""hello"" |> String.upcase |> String.reverse # Elixir: OLLEH","compose — identical chaining, opposite reading order (right-to-left).",Plumber's pipe (rejected: identical to the unix-pipe anchor next door).,Functions & functional programming,Composition & currying,rule of three: input -> transform -> output; the lambda,0
352,Unix pipe analogy,"Shell pipelines are function composition over text streams: each small program reads stdin, transforms, writes stdout.","A sushi conveyor through three chefs' stations — one slices, one rolls, one wraps; no chef knows the others exist, the belt is the only contract.",cat log.txt | grep ERROR | sort | uniq -c | head,Method chaining — flows through one object's API; unix pipes connect independent programs via a byte stream.,Factory assembly line (rejected: default cliche for pipelines).,Functions & functional programming,Composition & currying,rule of three: input -> transform -> output; the lambda,0
